ID_customer;avg_ticket;total_amount;ticket_std_dev;purchases;frequency;inactive_days;web_purchases;app_purchases;mon_thur_purchases;frid_sund_purchases;lunch_purchases;evening_purchases;low_ticket;medium_ticket;big_ticket
846; 20.5 ; 246.3 ; 7.3 ;12;14;4;0;12;8;4;7;5;12;0;0
847; 15.0 ; 30.0 ; -   ;2;59;2;0;2;2;0;0;2;2;0;0
848; 24.3 ; 48.6 ; 13.9 ;2;220;126;0;2;0;2;1;1;1;1;0
849; 16.6 ; 33.2 ; 2.4 ;2;314;5;0;2;0;2;1;1;2;0;0
850; 33.5 ; 67.1 ; 11.1 ;2;300;49;0;2;1;1;0;2;1;1;0
851; 18.0 ; 72.0 ; -   ;4;14;140;0;4;2;2;1;3;4;0;0
852; 58.7 ; 176.2 ; 24.5 ;3;67;7;0;3;2;1;2;1;0;0;3
853; 81.4 ; 162.9 ; 14.4 ;2;251;73;1;1;0;2;2;0;0;0;2
854; 45.7 ; 183.0 ; 19.4 ;4;35;153;0;4;2;2;1;3;1;2;1
855; 34.0 ; 170.2 ; 17.7 ;5;65;32;0;5;2;3;1;4;2;3;0
856; 16.9 ; 118.0 ; 5.6 ;7;50;69;0;7;1;6;2;5;7;0;0
857; 20.3 ; 81.1 ; 7.5 ;4;8;84;0;4;0;4;2;2;4;0;0
858; 48.9 ; 244.5 ; 32.1 ;5;63;20;0;5;1;4;3;2;2;1;2
859; 47.1 ; 188.5 ; 2.8 ;4;86;41;0;4;1;3;3;1;0;4;0
860; 35.1 ; 105.2 ; 16.3 ;3;54;113;0;3;1;2;2;1;1;2;0
861; 43.6 ; 523.3 ; 23.5 ;12;26;2;0;12;6;6;8;4;4;4;4
862; 48.3 ; 386.2 ; 2.6 ;8;32;42;0;8;0;8;2;6;0;8;0
863; 21.8 ; 43.7 ; -   ;2;7;231;0;2;1;1;2;0;2;0;0
864; 44.8 ; 89.6 ; 2.9 ;2;164;113;0;2;2;0;2;0;0;2;0
865; 15.0 ; 45.0 ; -   ;3;20;9;0;3;2;1;2;1;3;0;0
866; 36.0 ; 323.8 ; 10.6 ;9;49;33;0;9;5;4;4;5;3;6;0
